,ACCESS-ESM1-5_r2i1p1f1,CanESM5-CanOE-r1i1p2f1,UKESM1-0-LL-r2i1p1f2,UKESM1-0-LL-r1i1p1f2,ACCESS-ESM1-5-r1i1p1f1,CanESM5-CanOE-r2i1p2f1
2014-01-01,6.446671578494652,5.11643196213376,6.144277216087989,4.764066670929469,3.8694042648893534,4.913054978381078
2014-02-01,6.464927112245215,5.135754721945453,5.936986924784192,5.5373898550723055,3.4719439597002832,4.909439001051043
2014-03-01,6.414492112611063,5.111304798942039,6.1258240246859375,5.588913764889539,3.4644287512916763,4.795667685705551
2014-04-01,5.999041148204602,4.758732531677872,5.7416154565765405,5.411218335152823,3.0379935706747117,4.560670064739069
2014-05-01,5.113695073275997,4.0680375544370655,4.706068019101156,4.373708871842215,2.321452362863963,3.71104325257767
2014-06-01,3.937562677919928,3.457165017060392,3.8414753197895775,3.411527452312029,1.4921968531866594,2.534376150091143
2014-07-01,2.9985094313890706,2.4153356722010217,3.0238986863257744,2.369508137854308,0.6897948677583468,1.5430151021733194
2014-08-01,2.379550651551868,1.8045199292986864,2.3231594474512702,1.5263104002552963,0.27275813977855623,0.8584463343078812
2014-09-01,2.250855707219987,1.6727425755637093,2.2217327458766083,1.4532604714070243,0.1277183823822709,0.6302160402337814
2014-10-01,2.5550883710186696,2.430462662918679,2.5831175657894305,2.120685349109399,0.3433078443790377,0.9529313758034108
2014-11-01,4.122948791675954,3.903100899936775,4.6188547877366135,3.589208298716456,2.080628973583206,2.282217399273148
2014-12-01,5.3782746098824665,4.703006684568251,6.730992993971558,5.649084675569217,3.2686081457363105,4.745825598444013
2015-01-01,5.910199183687898,5.511758297882342,6.819300259027844,5.920445689167307,3.4975746552506073,5.351014890392111
2015-02-01,5.939505759002838,6.106779034026093,6.4734429621253335,5.4861910830042175,3.5232148123944107,5.2144025814614015
2015-03-01,5.811849766560495,6.012516339691841,5.8539964313285004,5.298326136737049,3.5337791603550945,5.413108092262684
2015-04-01,5.386598022436786,5.592249201665684,5.6132106595627915,4.568951753427137,3.404682503517024,5.305841330070397
2015-05-01,4.672076016003084,4.836943918240591,4.865125402899174,3.673372097304045,2.6364648284484877,4.259419393329317
2015-06-01,3.6764296776828487,3.9820894699192735,3.552613537542688,2.648288165961872,1.7732025442614865,3.6846417493505133
2015-07-01,2.8247330210334485,3.1413178457599704,2.3007813390424285,1.5666177551659346,0.8993514316274873,2.8079245345074164
2015-08-01,2.394014652312124,2.4793083796805706,1.4462426991520787,0.8622119289785712,0.1886604457748012,2.0492558365927085
2015-09-01,2.2929774653472217,2.274672449710394,1.4443747254285368,0.7646313230853391,0.126211308000717,1.8520055477080186
2015-10-01,2.6915331333202435,2.6027551106161533,2.001226307448558,1.5745237471773394,0.4992503388597274,1.7423525818064387
2015-11-01,4.186602380885958,4.023403049791599,3.5491647901748884,3.3965463934763003,2.2248638240732754,3.4530616497958215
2015-12-01,5.349023124476601,4.86595960549682,4.02722479327942,4.6015101468356905,3.442054738714332,5.148757721477493
2016-01-01,5.908982942056746,5.448123493688216,4.881269058316153,6.132894941514026,4.5378738718578235,5.799104269462117
2016-02-01,5.981887960617428,5.786349141993028,5.798595827913296,6.1844564995692135,5.137377532959041,5.43650840400053
2016-03-01,5.915106366814428,5.519851043228227,5.3704016684993885,5.915715382959214,4.95654098579988,5.013434158766372
2016-04-01,5.539938484278977,4.9902492443207205,4.936468275103798,5.513102337017767,4.417584954242039,4.584178840033264
2016-05-01,4.716444816019217,3.998544943792072,3.8877289298639055,4.841605187846018,3.318648656131677,3.640814956801063
2016-06-01,3.8536586731026614,3.2403634635121144,2.39252015628292,3.999268189137255,2.210695313323524,2.702282078756854
2016-07-01,2.922444678857817,2.5278200687583725,1.4847651192481406,3.1023674338352216,1.1642833207971777,1.7498490508405258
2016-08-01,2.3900803519100497,1.9381545944831733,0.9729671291574292,2.6052674651162464,0.6298188516633503,1.0948343388298458
2016-09-01,2.2954403727238946,1.758531021066049,0.8628459769565241,2.4511828219775613,0.4909615921555373,0.9671351127781398
2016-10-01,2.7034397788890945,1.838243868547155,1.5573854667987517,2.85630024405271,1.0248210792758572,1.3863084819757376
2016-11-01,4.293341655745854,3.69472820005569,3.0086663844217134,4.8176616499780245,2.7337292483805737,3.2358053056388245
2016-12-01,5.549092849446956,5.0073012732852105,3.5589675859682406,6.2186493675353525,3.959977943409713,5.093857799687686
2017-01-01,6.342859765438861,4.952199367397959,5.066746188024019,6.388807736539648,5.011071914999944,5.303414545721186
2017-02-01,6.228740934024493,4.659827561721818,6.347460275954893,5.896091482115331,4.7668414428928365,5.23348600131985
2017-03-01,6.1437390729056025,4.4864573633691816,5.894697059290428,5.161016884673685,4.8459832771378615,5.296052685118104
2017-04-01,5.962465601908021,4.149825310593949,5.280879611418572,4.788358776191601,4.6126433281870876,4.929541813387225
2017-05-01,5.053626071484941,2.972263384460842,4.341558496695389,3.8631840598026477,3.7821867384776633,3.7946167107831967
2017-06-01,3.9644980008820014,1.9115378324360883,3.0434298227589465,2.7414849434653386,3.024457698105369,2.3164177736468075
2017-07-01,2.9490312107271004,0.7287246653211259,1.8531993610040347,2.056042403193376,1.935145020646463,1.1593672178462118
2017-08-01,2.4297771000522537,0.0,1.5250991677745973,1.5062551440608978,1.031424630328427,0.26566294820579706
2017-09-01,2.4378741817736556,0.010307985505521313,1.4106766400606878,1.3219901488389274,0.8326691619748978,0.09914857430941765
2017-10-01,2.798914481236108,0.324493999628326,1.8917335551198315,1.9447888722455613,1.2226885026507697,0.16018218430708936
2017-11-01,4.495777574188413,2.0957302476936968,3.434498196455918,3.188084771929513,3.0052462053106064,2.287274525933217
2017-12-01,5.7505898370958475,3.1795942945119764,4.3255818604877065,4.254662996882159,4.312877466152571,4.331416644598367
2018-01-01,6.145021176926409,4.1083139245388205,6.026289744760279,5.994233938878247,4.787600751215554,5.250355591141593
2018-02-01,6.141981273815992,4.619878940265285,6.066697785872696,6.283191475787781,4.811472557091632,5.404035238977883
2018-03-01,6.28429367384978,4.789327222647266,6.162006785361228,6.233016855859772,4.7552345582092075,5.591134831699635
2018-04-01,6.085224473957237,4.557754235691003,5.857236500316257,5.991298165210919,4.6210148697256646,5.243022149984235
2018-05-01,5.371391832967984,3.631850715772466,4.921791748144435,4.83570546133302,3.49678157078182,4.277582751414244
2018-06-01,4.5507151571004965,2.626665504073145,3.997389912518944,4.047577085601319,2.4966135521814463,3.245470175714502
2018-07-01,3.3685563225016515,1.3698081636876491,3.30543529051608,3.088891076129176,1.5726856781175846,2.4267273224093424
2018-08-01,2.7013580260579357,0.5007402530770544,2.8597267537310285,2.278552715535973,0.9881612942929792,1.6696331886820641
2018-09-01,2.491839651213632,0.4639415003292772,2.4903402767125984,2.101648934516805,0.852018418252853,1.561528794138859
2018-10-01,2.900250648881108,1.2416851218707081,2.948794992254633,2.604061873617572,1.5447370376381235,2.1194454085573584
2018-11-01,4.502298691601075,3.193646182930655,4.747561084164109,4.314278128085537,3.2987897843554865,3.9478441882343223
2018-12-01,5.617166278593942,4.473039496129586,5.8835627969641076,6.841559731146077,4.520677423910883,5.136968913269646
2019-01-01,5.999284930100192,4.5993892121784805,5.9235713613904775,6.829210485822513,4.7293120152531865,5.78571242339633
2019-02-01,7.31656153636417,4.792627206056442,6.268330900015456,5.603029425608118,4.628617625319398,5.639453478146272
2019-03-01,6.880161628630228,4.7732236285640495,5.988634729970388,5.33993321728116,4.780632618674519,5.298061478251028
2019-04-01,6.5126460524392975,4.5421612002140375,5.425184869711739,4.874440731977785,4.464555651400967,4.888198918917543
2019-05-01,5.3949500837380056,3.4089813889481486,4.493318567575064,4.049224399712207,3.881867649583612,4.223420848431111
2019-06-01,4.250887667442107,2.2616153006128306,3.5897439315325173,2.87417250723524,2.749668718835282,3.4617858893443083
2019-07-01,3.3411791966610376,1.3694267822813062,2.5511103405525235,1.7279211666302463,1.6208343622573582,2.750205336134061
2019-08-01,2.71074273750598,0.5465806265208911,1.8410631543376368,0.9134613616738064,0.7763643444724513,2.1689410556894066
2019-09-01,2.4263575217448303,0.5431466336924599,1.5459692910364151,0.9034373849324888,0.615732595615485,1.8550215946543411
2019-10-01,2.8613130453700517,1.0164012002103686,2.3659775085302552,1.5151535514433347,1.2467867438980869,2.344143095510371
2019-11-01,4.383685720230254,2.5145774175603184,4.363098078389451,3.282284404096888,2.9138131531107243,3.7928016970072242
2019-12-01,5.621511992413605,3.092937733430188,6.1429230205757746,4.7901546597878495,4.2548082662653695,5.04063270274813
2020-01-01,6.022973456265523,4.951876646026356,5.645497671718445,5.9209493728970335,5.062306948464447,5.534406037814286
2020-02-01,6.155789705074117,5.218195446747776,5.851668812558564,6.130239838184195,5.158067786758476,5.288391807012653
2020-03-01,6.1772058885178005,5.2144243067294775,6.064227164497239,5.3689878074464366,5.238998801107946,5.133609924424368
2020-04-01,5.88506152537687,5.039840786812324,5.812560168177423,5.2200344760026045,4.69909613606279,4.698641982031585
2020-05-01,4.906890541973801,3.9472838177711953,5.0517983991642685,4.718599740450403,3.6584179019739884,3.7157258824372286
2020-06-01,3.864496931584185,2.9615405983725163,3.8944063982331047,3.8093893505216165,2.5477749613530385,2.650830668025932
2020-07-01,2.990678034652545,1.841998301736352,2.745845397343191,2.9914119632342437,1.6634427469046582,1.8314494343376433
2020-08-01,2.427713468746976,1.3003878218704117,1.9660139111206851,2.1476295834015144,1.0032742493234894,1.2231563316083895
2020-09-01,2.3457774032618497,1.290589358381461,1.5847100512959311,1.6611803663254223,0.9274921620657934,1.066318942081173
2020-10-01,2.753657137385797,2.0249531142367507,2.038683255371243,2.06736439448503,1.6170685968665397,1.4805887681107248
2020-11-01,4.353432203196037,4.218441602758312,3.8393171856056494,5.689197804463491,3.6895419543070638,2.5992867603863266
2020-12-01,6.092875689815973,5.595984351801746,5.6145024316200605,6.960255731851914,5.362159958655013,3.4060647919741847
